id_return,returned_quantity,return_reason,corrective_actions,id_order,id_distribution_client,id_offer
1,2,"Damaged items","Refund processed, replacement shipped",1,1,1
2,1,"Incorrect size","Exchange initiated",2,2,2
3,3,"Unsatisfactory quality","Refund processed",3,3,3
4,1,"Changed mind","Return accepted, refund issued",4,4,4
5,2,"Late delivery","Compensation provided",5,5,5
6,1,"Defective product","Replacement sent, return label issued",6,6,6
7,3,"Not as described","Refund and return initiated",7,7,7
8,1,"Duplicate order","Return approved, refund issued",8,8,8
9,2,"Ordered wrong item","Exchange requested",9,9,9
10,1,"Received wrong item","Return authorized, replacement shipped",10,10,10
